==========================================================================================
MULTI-TIMEFRAME RESEARCH RESULTS - KuCoin Spot
Test Period: 90 days | Pairs: 36 | Max Hold: 72 bars
Generated: 2026-04-24 09:48:21
==========================================================================================

------------------------------------------------------------------------------------------
PER-PAIR RESULTS
------------------------------------------------------------------------------------------

BTC/USDT:
  C/stop_atr tp_5: count=13, WR=0.0%, Exp=0.555, AvgHold=44.8bars, TP%=0.0%
  C/stop_atr tp_5_wBias: count=13, WR=0.0%, Exp=0.555, AvgHold=44.8bars, TP%=0.0%
  C/stop_atr tp_7: count=13, WR=0.0%, Exp=0.555, AvgHold=44.8bars, TP%=0.0%
  C/stop_atr tp_7_wBias: count=13, WR=0.0%, Exp=0.555, AvgHold=44.8bars, TP%=0.0%
  D/stop_2 tp_3: count=6, WR=16.7%, Exp=-1.167, AvgHold=12.0bars, TP%=16.7%
  D/stop_2 tp_3_wBias: count=6, WR=16.7%, Exp=-1.167, AvgHold=12.0bars, TP%=16.7%
  D/stop_2 tp_5: count=6, WR=0.0%, Exp=-1.278, AvgHold=22.3bars, TP%=0.0%
  D/stop_2 tp_5_wBias: count=6, WR=0.0%, Exp=-1.278, AvgHold=22.3bars, TP%=0.0%
  D/stop_2 tp_7: count=6, WR=0.0%, Exp=-1.278, AvgHold=22.3bars, TP%=0.0%
  D/stop_2 tp_7_wBias: count=6, WR=0.0%, Exp=-1.278, AvgHold=22.3bars, TP%=0.0%
  D/stop_atr tp_3: count=6, WR=16.7%, Exp=-0.288, AvgHold=5.5bars, TP%=16.7%
  D/stop_atr tp_3_wBias: count=6, WR=16.7%, Exp=-0.288, AvgHold=5.5bars, TP%=16.7%
  D/stop_atr tp_5: count=6, WR=0.0%, Exp=-0.4, AvgHold=15.8bars, TP%=0.0%
  D/stop_atr tp_5_wBias: count=6, WR=0.0%, Exp=-0.4, AvgHold=15.8bars, TP%=0.0%
  D/stop_atr tp_7: count=6, WR=0.0%, Exp=-0.4, AvgHold=15.8bars, TP%=0.0%
  D/stop_atr tp_7_wBias: count=6, WR=0.0%, Exp=-0.4, AvgHold=15.8bars, TP%=0.0%
